,Borough,hour_of_day,day_of_week,minutes_per_mile,traffic
1163,Queens,19,Tuesday,4.776119402985074,144540
1164,Queens,21,Tuesday,4.296875,114210
1275,Staten Island,4,Friday,3.2929425448100633,2080
1276,Staten Island,5,Sunday,3.1514598090512127,4560
1277,Staten Island,5,Wednesday,3.1918724279835393,5140
1278,Staten Island,6,Friday,3.2299741602067185,9350
1279,Staten Island,6,Wednesday,3.2988072458221716,8780
1280,Staten Island,7,Tuesday,3.7621001683501687,13640
1281,Staten Island,7,Wednesday,3.787523118509034,14880
1282,Staten Island,8,Friday,3.805979924348744,19380
1283,Staten Island,8,Tuesday,3.860606060606061,18430
1284,Staten Island,9,Thursday,3.7421443534564838,15690
1285,Staten Island,9,Wednesday,3.7521493490542865,16110
1286,Staten Island,11,Sunday,3.781669345249761,11900
1287,Staten Island,11,Thursday,3.9013324759761367,14980
1288,Staten Island,12,Thursday,3.8901163374969707,15420
1289,Staten Island,12,Tuesday,3.874687602665791,14420
1290,Staten Island,14,Monday,4.202046356306745,16700
1291,Staten Island,14,Tuesday,4.210791118317163,18320
1292,Staten Island,15,Saturday,3.949090125560714,19160
1293,Staten Island,15,Tuesday,4.256900212314225,18970
1294,Staten Island,16,Sunday,3.801214972805422,14480
1295,Staten Island,18,Friday,4.028011074505438,21900
1296,Staten Island,18,Tuesday,4.045454545454545,16730
1297,Staten Island,19,Thursday,3.8888888888888884,15050
1298,Staten Island,20,Saturday,3.653767512979162,15780
1299,Staten Island,20,Thursday,3.7185422973866444,12580
1300,Staten Island,21,Sunday,3.499551971326165,9620
1301,Staten Island,23,Monday,3.324269941309611,6260
1302,Bronx,0,Sunday,4.381378215141101,135660
1303,Bronx,0,Wednesday,4.197080291970803,69830
1304,Bronx,1,Tuesday,4.151119808654055,36760
1305,Bronx,2,Sunday,4.199279866904509,80740
1306,Bronx,2,Thursday,4.131884057971015,29420
1307,Bronx,3,Sunday,4.091530054644808,63310
1308,Bronx,4,Monday,3.830608031842215,22040
1309,Bronx,4,Thursday,3.8208378594412906,21540
1310,Bronx,4,Tuesday,3.8758680555555554,19670
1311,Bronx,9,Friday,5.104384588563459,133920
1312,Bronx,9,Sunday,4.1477272727272725,68430
1313,Bronx,9,Thursday,5.173611111111112,123930
1314,Bronx,10,Friday,5.181557324637125,118100
1315,Bronx,11,Tuesday,5.342163355408388,103450
1316,Bronx,12,Monday,5.244039790929017,97700
1317,Bronx,13,Tuesday,5.559210526315789,116290
1318,Bronx,14,Monday,5.841363004469715,117720
1319,Bronx,14,Thursday,5.995483274397431,138380
1320,Bronx,14,Wednesday,6.057581786030061,138260
1321,Bronx,15,Friday,6.24241978757029,150000
1322,Bronx,15,Saturday,5.579216354344123,139850
1323,Bronx,15,Tuesday,6.075757575757575,136890
